Sample number,Location,Collection Date/Time (MDT),Water level (m),Discharge method,Q (m3/s),SC (uS/cm),pH (lab),pH (field),T (field),Ca (mg/L),K (mg/L),Mg (mg/L),Na (mg/L),SiO2 (mg/L),Cl (mg/L),SO4 (mg/L),Alkalinity (mg HCO3/L),NO3 (mg NO3/L),NH4 (mg NH4/L),DOC (mg/L),SUVA (L/mg/m),TSS (mg/L)
12FS055,US1,7/6/12 22:14,0.253,R,0.12,69,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,163
12FS056,US1,7/6/12 22:34,0.253,R,0.12,62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44
12FS057,US1,7/6/12 22:54,0.253,R,0.12,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,89
12FS058,US1,7/6/12 23:14,0.253,R,0.12,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,88
12FW232,US1,7/6/12 23:34,0.247,R,0.11,59,--,--,--,4.63,0.894,2.04,2.34,8.87,1.74,3.1,23.9,0.16,<0.05,5.05,2.64,67
12FS059,US1,7/6/12 23:34,0.247,R,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS060,US1,7/6/12 23:54,0.247,R,0.11,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,107
12FS061,US1,7/7/12 0:14,0.247,R,0.11,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,75
12FS062,US1,7/7/12 0:34,0.25,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46
12FS063,US1,7/7/12 0:54,0.25,R,0.12,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,88
12FS064,US1,7/7/12 1:14,0.253,R,0.12,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72
12FS065,US1,7/7/12 1:34,0.256,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53
12FS066,US1,7/7/12 1:54,0.256,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49
12FS067,US1,7/7/12 2:14,0.256,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41
12FS068,US1,7/7/12 2:34,0.253,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40
12FS069,US1,7/7/12 2:54,0.256,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33
12FS070,US1,7/7/12 3:14,0.256,R,0.12,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29
12FS071,US1,7/7/12 3:34,0.256,R,0.12,61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26
12FS072,US1,7/7/12 3:54,0.253,R,0.12,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21
12FS073,US1,7/7/12 4:14,0.25,R,0.12,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21
12FW233,US1,7/7/12 4:34,0.247,R,0.11,48.1,--,7.56,--,4.91,0.724,2.11,2.45,9.3,2.04,3.2,24.1,<0.02,<0.05,6.69,2.76,22
12FS074,US1,7/7/12 4:34,0.247,R,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW246,US1,7/7/12 16:36,0.293,R,0.18,64.9,--,7.39,--,5.06,0.947,3.01,2.58,7.64,5.68,3.5,23.5,0.36,<0.05,5.4,2.48,"1,096"
12FS150,US1,7/7/12 16:36,0.293,R,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS151,US1,7/7/12 16:56,0.314,R,0.22,73.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,291"
12FW247,US1,7/7/12 17:16,0.317,R,0.23,62,--,7.44,--,6.28,1.13,2.58,2.38,7.24,3.42,4,27.1,0.43,<0.05,5.72,2.54,901
12FS152,US1,7/7/12 17:16,0.317,R,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS153,US1,7/7/12 17:36,0.329,R,0.25,69.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,588
12FS154,US1,7/7/12 17:56,0.32,R,0.23,69.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,570
12FS155,US1,7/7/12 18:16,0.314,R,0.22,75.8,7.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,337"
12FW248,US1,7/7/12 18:36,0.299,R,0.19,77.9,--,7.39,--,6.59,1.37,2.62,2.74,8.38,2.81,5.4,27.5,0.38,<0.05,7.07,2.68,"1,825"
12FS156,US1,7/7/12 18:36,0.299,R,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS157,US1,7/7/12 18:56,0.299,R,0.19,76.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,677"
12FS158,US1,7/7/12 19:16,0.293,R,0.18,78.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,892
12FS159,US1,7/7/12 19:36,0.293,R,0.18,79.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,403
12FS160,US1,7/7/12 19:56,0.287,R,0.17,79.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,207
12FS161,US1,7/7/12 20:16,0.287,R,0.17,80.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,160
12FS162,US1,7/7/12 20:36,0.28,R,0.16,82.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,128
12FS163,US1,7/7/12 20:56,0.28,R,0.16,84.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99
12FS164,US1,7/7/12 21:16,0.277,R,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS165,US1,7/7/12 21:36,0.277,R,0.16,--,7.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,76
12FS166,US1,7/7/12 21:56,0.277,R,0.16,88.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67
12FS167,US1,7/7/12 22:16,0.274,R,0.15,84.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57
12FS168,US1,7/7/12 22:36,0.274,R,0.15,83.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58
12FS169,US1,7/7/12 22:56,0.274,R,0.15,82.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45
12FS170,US1,7/7/12 23:16,0.274,R,0.15,86.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44
12FS171,US1,7/7/12 23:36,0.271,R,0.15,87.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43
12FS172,US1,7/7/12 23:56,0.268,R,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW249,US1,7/8/12 0:16,0.268,R,0.14,83,--,7.62,--,7.41,0.854,3.18,3.22,10.6,3.15,7.2,32.1,0.35,<0.05,6.59,2.63,37
12FS173,US1,7/8/12 0:16,0.268,R,0.14,83,7.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37
12FW250,US1,7/11/12 9:25,0.302,M,0.2,84.4,--,7.68,10.4,6.95,0.701,3.17,3.2,11.2,3.24,6.3,31.5,<0.02,<0.05,5.28,2.53,18
12FW256,US1,7/18/12 9:30,0.244,R,0.11,84,--,7.76,10.8,6.76,0.616,3.05,3.05,10.9,3.19,5,31.7,<0.02,<0.05,2.76,2.23,<6
12FW269,US1,7/25/12 11:30,0.216,M,0.076,82,--,7.62,13.5,6.85,0.643,3.07,3.12,10.9,2.86,4.8,33.4,<0.02,<0.05,2.77,3.18,6
12FW281,US1,7/31/12 9:21,0.229,R,0.091,90,--,7.76,11.6,7.52,0.709,3.16,3.37,11,3.81,4.8,35.5,<0.02,<0.05,3.26,2.75,<6
12FW286,US1,8/15/12 8:15,0.174,R,0.04,77.7,--,7.34,11.2,7.18,0.626,3.11,3.26,11.3,2.82,5.5,36.9,<0.02,0.06,1.91,2.04,<6
12FW292,US1,9/20/12 8:30,--,M,0.017,82.3,--,8.02,7.1,7.64,0.795,3.32,3.6,10.8,2.24,7.4,38.7,<0.02,0.05,1.4,2.12,<6
12FW298,US1,11/1/12 9:00,--,M,0.019,96.9,--,7.6,2.2,8.55,0.792,3.79,3.93,11.4,2.8578,7.58,40.2,0.0864,<0.05,1.28,1.96,<6
13FW001,US1,1/24/13 10:45,--,E,0.014,105,--,7.81,--,8.7,0.703,3.77,4.14,10.7,2.52,13.6,35.8,0.31,<0.03,0.93,2.1,<6
13FW007,US1,3/21/13 11:10,--,E,0.019,107,--,7.88,1.2,9.28,0.717,3.98,4.34,10.1,3.04,15.2,39.1,0.39,<0.03,0.98,1.69,<6
13FW013,US1,4/8/13 10:55,--,M,0.04,103,--,7.62,2.8,9.01,0.724,4.06,4.09,9.78,5.64,12,34.3,0.17,<0.03,1.8,1.89,<6
13FW019,US1,4/22/13 10:30,0.207,R,0.12,113,--,--,1.3,10,0.763,4.67,4.56,10.6,6.37,13.4,37.3,0.34,<0.03,2.97,2.18,<6
13FW025,US1,4/29/13 10:05,0.341,R,0.45,97.2,--,7.3,3.6,7.78,0.831,3.79,3.77,10.7,6.56,9.99,29.6,0.65,<0.03,5.81,2.58,20
13FW035,US1,5/6/13 9:30,0.363,R,0.54,90.5,--,7.8,3.5,7.7,0.829,3.55,3.63,11.3,6.29,8.88,28.2,0.23,<0.03,5.35,2.57,12
13FW041,US1,5/10/13 9:40,0.53,R,1.5,88,--,7.43,4,7.65,1.11,3.37,3.97,11.5,4.3,8.9,29.5,0.4,<0.03,7.97,2.62,34
13FW049,US1,5/15/13 10:03,0.482,R,1.2,67,--,7.65,5.6,5.18,0.908,2.31,3.34,9.89,3.9,5.7,20.7,0.1,<0.03,6.66,2.52,29
13FW055,US1,5/22/13 9:00,0.36,R,0.54,56.9,--,7.71,5,4.43,0.661,1.93,2.9,9.36,2.3,4.5,21.2,<0.03,<0.03,4.15,2.5,9
13FW061,US1,5/29/13 10:50,0.363,R,0.54,40,--,7.6,5.9,3.28,0.511,1.39,2.19,8.14,1.3,3.2,17.4,<0.03,<0.03,3.39,2.49,<6
13FW067,US1,6/5/13 9:40,0.299,R,0.28,42,--,7.45,6.2,3.47,0.518,1.47,2.24,8.31,1.3,3.3,19.2,<0.03,<0.03,2.69,2.39,<6
13FW073,US1,6/11/13 11:08,0.299,R,0.28,36,--,7.58,9.2,3.02,0.435,1.26,1.96,7.75,0.9,2.7,17.5,<0.03,<0.03,2.01,2.79,<6
13FW079,US1,6/19/13 9:38,0.256,R,0.21,41,--,7.43,8,3.46,0.433,1.45,2.1,8.25,0.9,2.8,19.9,<0.03,<0.03,1.66,2.32,<6
13FW085,US1,6/26/13 9:45,0.207,R,0.1,46.2,--,7.39,9.8,3.98,0.48,1.68,2.41,8.77,0.9,3.4,22.5,<0.03,<0.03,1.59,2.36,<6
13FW091,US1,7/1/13 10:35,0.192,M,0.085,57.8,--,7.62,10.5,4.65,0.542,1.97,2.69,9.68,1.1,3.8,25.6,<0.03,<0.03,1.63,2.48,<6
13FW097,US1,7/8/13 10:00,0.168,R,0.057,63.8,--,7.64,12.5,5.52,0.625,2.27,2.59,10.1,1.2,4.4,29.5,0.11,<0.03,1.66,2.33,<6
13FS001,US1,7/12/13 14:28,0.219,R,0.12,122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,925"
13FW103,US1,7/12/13 14:38,0.219,R,0.12,104,--,7.79,20.5,6.14,1.4,5,2.77,7.54,12.2,7.2,25.7,0.85,0.03,3.64,2.48,819
13FS002,US1,7/12/13 14:48,0.213,R,0.11,99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,720
13FS003,US1,7/12/13 14:58,0.207,R,0.1,91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,503
13FS004,US1,7/12/13 15:08,0.198,R,0.093,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,609
13FS005,US1,7/12/13 15:18,0.195,R,0.088,106,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,777
13FS006,US1,7/12/13 15:19,0.195,R,0.088,109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,788
13FS007,US1,7/12/13 15:39,0.195,R,0.088,97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,474
13FS008,US1,7/12/13 15:59,0.207,R,0.1,76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,121
13FS009,US1,7/12/13 16:19,0.201,R,0.096,69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52
13FS010,US1,7/12/13 16:39,0.198,R,0.093,80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,250
13FS011,US1,7/12/13 16:59,0.195,R,0.088,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,188
13FS012,US1,7/12/13 17:19,0.192,R,0.085,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,126
13FS013,US1,7/12/13 17:39,0.189,R,0.082,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,671
13FS014,US1,7/12/13 17:59,0.189,R,0.082,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,208"
13FS015,US1,7/12/13 18:19,0.189,R,0.082,72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,695
13FS016,US1,7/12/13 18:39,0.192,R,0.085,72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,306
13FS017,US1,7/12/13 18:59,0.192,R,0.085,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,123
13FS018,US1,7/12/13 19:19,0.192,R,0.085,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62
13FS019,US1,7/12/13 19:39,0.192,R,0.085,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44
13FS020,US1,7/12/13 19:59,0.192,R,0.085,69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35
13FS021,US1,7/12/13 20:19,0.192,R,0.085,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29
13FS022,US1,7/12/13 20:39,0.189,R,0.082,67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27
13FS023,US1,7/12/13 20:59,0.189,R,0.082,67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23
13FW105,US1,7/13/13 9:50,0.165,R,0.054,64,--,7.72,20.6,5.29,0.564,2.22,2.4,10.8,1.4,4.6,29.7,0.11,<0.03,1.72,2.78,11
13FW121,US1,7/14/13 22:49,0.229,R,0.14,92,--,7.74,18.8,8.36,0.928,3.44,2.54,8.79,5.6,4.3,38.2,0.46,0.05,2.7,2.35,321
13FS077,US1,7/14/13 22:59,0.244,R,0.17,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,280
13FS078,US1,7/14/13 23:09,0.247,R,0.17,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,185
13FS079,US1,7/14/13 23:19,0.247,R,0.17,78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,328
13FS080,US1,7/14/13 23:29,0.244,R,0.17,78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,403
13FS081,US1,7/14/13 23:39,0.241,R,0.16,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,419
13FS082,US1,7/14/13 23:41,0.241,R,0.16,63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,449
13FW122,US1,7/15/13 0:01,0.247,R,0.17,66,--,7.81,18.4,6.01,1.02,2.6,2.28,8.28,2.3,3.6,31.1,0.53,<0.03,3.41,2.66,568
13FS083,US1,7/15/13 0:21,0.247,R,0.17,67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,924
13FS084,US1,7/15/13 0:41,0.247,R,0.17,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,608
13FS085,US1,7/15/13 1:01,0.247,R,0.17,76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,431
13FS086,US1,7/15/13 1:21,0.25,R,0.18,86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,369
13FS087,US1,7/15/13 1:41,0.25,R,0.18,88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,277
13FS088,US1,7/15/13 2:01,0.25,R,0.18,80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,172
13FS089,US1,7/15/13 2:21,0.25,R,0.18,78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,111
13FS090,US1,7/15/13 2:41,0.25,R,0.18,79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,81
13FW123,US1,7/15/13 3:01,0.244,R,0.17,80,--,7.72,18.6,7.01,0.817,2.91,2.75,10.2,3.7,4.1,33,0.22,<0.03,5.71,2.99,45
13FS091,US1,7/15/13 3:21,0.244,R,0.17,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54
13FS092,US1,7/15/13 3:41,0.244,R,0.17,76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45
13FS093,US1,7/15/13 4:01,0.238,R,0.16,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41
13FS094,US1,7/15/13 4:21,0.235,R,0.15,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34
13FS095,US1,7/15/13 4:41,0.229,R,0.14,76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35
13FS096,US1,7/15/13 5:01,0.229,R,0.14,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33
13FS097,US1,7/15/13 5:21,0.226,R,0.13,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31
13FW126,US1,7/19/13 10:10,0.195,M,0.088,92.1,--,7.54,12.5,8.84,0.833,3.63,3.43,12.3,3.3,5.8,40,0.1,<0.03,2.85,2.56,9
13FW140,US1,8/7/13 10:20,0.149,R,0.04,104.4,--,7.59,11.5,10.1,0.924,4.09,3.91,12.8,3.42,7,45.1,<0.03,<0.03,1.9,2.17,<6
13FW146,US1,8/13/13 13:27,0.223,R,0.13,170,--,7.58,22.3,9.24,1.59,9.37,4.16,6.78,30.14,6.1,27.1,0.52,<0.03,3.4,1.93,"2,064"
13FS115,US1,8/13/13 13:37,0.247,R,0.17,106,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,766"
13FS116,US1,8/13/13 13:47,0.229,R,0.14,116,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,894
13FS117,US1,8/13/13 13:57,0.216,R,0.12,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,546
13FS118,US1,8/13/13 14:07,0.207,R,0.1,99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,543
13FS119,US1,8/13/13 14:17,0.204,R,0.1,115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,662
13FS120,US1,8/13/13 14:18,0.204,R,0.1,115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,720
13FS121,US1,8/13/13 14:38,0.207,R,0.1,104,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,311
13FS122,US1,8/13/13 14:58,0.207,R,0.1,110,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
13FS123,US1,8/13/13 15:18,0.201,R,0.096,116,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,235
13FS124,US1,8/13/13 15:38,0.204,R,0.1,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,423
13FW147,US1,8/13/13 15:58,0.198,R,0.093,118,--,7.72,21.8,11.1,1.14,4.74,3.94,11.8,5.62,6.6,47.5,0.18,<0.03,3.4,2.56,337
13FS125,US1,8/13/13 16:18,0.192,R,0.085,114,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,381
13FS126,US1,8/13/13 16:38,0.189,R,0.082,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,377
13FS127,US1,8/13/13 16:58,0.189,R,0.082,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,720
13FS128,US1,8/13/13 17:18,0.192,R,0.085,117,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,671
13FS129,US1,8/13/13 17:38,0.189,R,0.082,129,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,233"
13FS130,US1,8/13/13 17:58,0.189,R,0.082,135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,124"
13FS131,US1,8/13/13 18:18,0.186,R,0.076,135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,588
13FS132,US1,8/13/13 18:38,0.186,R,0.076,130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,367
13FS133,US1,8/13/13 18:58,0.183,R,0.074,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,222
13FS134,US1,8/13/13 19:18,0.183,R,0.074,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,164
13FS135,US1,8/13/13 19:38,0.18,R,0.071,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,124
13FW148,US1,8/13/13 19:58,0.18,R,0.071,126,--,7.86,22.7,12.5,1.12,4.89,4.15,12.8,6.18,7,50.8,0.1,0.03,2.8,2.43,29
13FW150,US1,8/21/13 9:08,0.14,R,0.034,121,--,7.56,11.6,11.9,1,4.64,4.44,13.4,3.89,8.6,51.2,0.05,<0.03,1.68,2.13,<6
13FW162,US1,9/19/13 14:30,--,E,1.4,83.1,--,7.59,9.2,7.36,1.1,2.91,3.2,11.6,2.3,6,31.3,0.12,0.04,5.8,2.5,13
13FW172,US1,10/17/13 13:45,--,M,0.082,94,--,7.73,4.3,8.51,0.9,3.47,3.66,10.9,2.5,7.3,38.9,<0.03,<0.03,2.4,2.08,<6
13FW181,US1,11/6/13 11:20,--,M,0.028,108,--,7.84,0.8,9.81,0.9,3.94,4.27,11,2.7,10.1,43.7,0.12,<0.03,2,1.76,<6
13FW192,US1,12/16/13 10:30,--,M,0.031,98,--,7.49,0.2,8.45,0.793,3.65,3.68,10.3,2.16,9.95,38.2,0.12,<0.03,1.4,1.69,<6
14FW001,US1,2/27/14 10:00,--,M,0.03,105.8,--,7.96,0.3,9.47,0.791,4.1,4.2,10.4,2.87,11.4,43,0.21,--,1.6,1.6,<6
14FW007,US1,4/11/14 10:40,0.195,R,0.19,99,--,7.61,2.7,8.19,0.886,3.84,3.84,10,5.86,7.55,38,0.17,<0.04,3.3,2.38,12
14FW013,US1,4/21/14 11:20,0.344,M,0.68,85,--,7.68,4.2,7.17,0.96,3.18,3.49,10.2,4.89,6.26,31,0.19,<0.04,5.3,2.5,27
14FW019,US1,5/1/14 10:30,0.247,R,0.34,69.3,--,8,2.7,6,0.843,2.62,3.14,10,2.84,5.71,28,0.07,<0.04,3.9,2.34,13
14FW025,US1,5/14/14 10:05,0.232,R,0.28,66.9,--,7.25,2.4,5.61,0.717,2.45,3.75,9.59,2.59,5.06,27,0.39,<0.04,3.1,2.24,8
14FW031,US1,5/23/14 9:52,0.369,R,0.91,53.5,--,7.68,6.3,4.64,0.701,1.95,2.5,9.46,1.6,4.31,23,<0.03,<0.04,4.4,2.56,17
14FW037,US1,5/29/14 12:30,0.408,R,1.42,47.7,--,7.68,8.5,4.24,0.647,1.69,2.18,9.02,1.1,3.65,22,0.06,<0.04,3.8,2.74,18
14FW047,US1,6/12/14 10:15,0.244,R,0.45,40.2,--,7.55,7,3.69,0.524,1.42,1.86,8.32,0.72,2.66,20,0.03,<0.04,2.1,2.6,8
14FW053,US1,6/20/14 10:57,0.204,R,0.31,40.2,--,7.52,7.8,3.63,0.487,1.44,1.89,7.99,0.65,2.59,20,<0.03,<0.04,1.7,2.41,<6
14FW059,US1,7/3/14 9:32,0.155,R,0.16,43.8,--,7.76,8.9,3.71,0.479,1.48,1.94,7.78,0.57,2.77,20.7,0.13,<0.04,1.7,2.06,<6
14FW065,US1,7/16/14 10:11,0.107,R,0.07,64.7,--,7.67,11.5,5.81,0.685,2.42,2.64,10,0.93,3.96,33,0.07,<0.04,2.2,1.98,<6
14FW073,US1,7/29/14 11:12,0.079,R,0.04,83.3,--,7.94,13.4,7.08,0.808,2.89,3.11,11,1.1,5.09,38,0.07,<0.04,1.7,2.73,<6
14FW093,US1,7/30/14 9:50,0.116,R,0.08,70,--,7.72,15.5,6.38,0.844,2.8,3.55,10,1.81,3.87,33,1.33,<0.04,3.1,2.39,12
14FS084,US1,7/30/14 10:50,0.119,R,0.09,70.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15
14FS085,US1,7/30/14 11:50,0.122,R,0.1,69.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
14FS086,US1,7/30/14 12:50,0.122,R,0.1,59.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14
14FS087,US1,7/30/14 13:50,0.122,R,0.1,69.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
14FS088,US1,7/30/14 14:50,0.128,R,0.11,71.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10
14FS089,US1,7/30/14 15:50,0.128,R,0.11,68.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13
14FS090,US1,7/30/14 16:50,0.128,R,0.11,67.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
14FS091,US1,7/30/14 17:50,0.128,R,0.11,65.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
14FS092,US1,7/30/14 18:50,0.128,R,0.11,73.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
14FS093,US1,7/30/14 19:50,0.128,R,0.11,76.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
14FS094,US1,7/30/14 20:50,0.128,R,0.11,75.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
14FS095,US1,7/30/14 21:50,0.128,R,0.11,76.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
14FW094,US1,7/30/14 22:50,0.128,R,0.11,74,--,7.72,13.8,6.94,0.819,2.96,3.73,10.2,1.9,3.97,36,0.57,<0.04,3.4,3.01,8
14FS096,US1,7/30/14 23:50,0.128,R,0.11,74.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
14FS097,US1,7/31/14 0:50,0.128,R,0.11,61.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
14FS098,US1,7/31/14 1:50,0.128,R,0.11,78.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
14FS099,US1,7/31/14 2:50,0.122,R,0.1,67.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
14FW095,US1,7/31/14 3:50,0.122,R,0.1,79,--,7.67,15.2,7.49,0.833,3.18,3.07,10.6,2.31,4.54,39,0.17,<0.04,3.6,2.82,7
14FW096,US1,8/19/14 11:30,0.067,R,0.03,90.2,--,7.58,12.8,8.32,0.895,3.41,3.59,11.5,1.98,5.88,43,0.09,<0.04,1.76,2.21,<6
14FW102,US1,9/10/14 10:37,0.064,R,0.02,98,--,7.63,10.9,9.47,0.95,4.32,3.81,11.7,2.08,7.14,48,0.05,<0.04,1.67,2.34,<6
14FW108,US1,10/1/14 12:05,0.064,R,0.02,106,--,7.61,8.4,10,0.994,4.51,3.99,11.8,2.17,8.4,50,<0.03,<0.04,1.57,1.85,<6
14FW114,US1,11/20/14 11:46,--,M,0.02,104,--,7.52,0.7,9.74,0.83,4.11,3.95,10.8,2.41,10.9,46,0.19,<0.04,1.1,1.76,<6
15FW001,US1,1/30/15 9:35,--,M,0.01,112,--,7.55,0.4,9.57,0.808,4.04,4.33,10.6,2.32,13.8,42.9,0.4,<0.04,0.907,1.81,<6
15FW008,US1,4/10/15 9:58,--,M,0.091,95,--,7.58,2,7.9,0.799,3.61,3.97,9.73,7.26,7.2,34.6,0.1,<0.04,2.358,2.24,<6
