Site,SampleDate,Conc,Units,DateTime
Coal Creek,6/22/2006,0.080677291,mg NO3/L,2006-06-22
Coal Creek,06/30/2006,1.226086957,mg/L,2006-06-30
Coal Creek,7/2/2006,0.080677291,mg NO3/L,2006-07-02
Pinchot Creek,7/3/2006,0.047808765,mg NO3/L,2006-07-03
Fish Creek,7/4/2006,0.057914046,mg N/L,2006-07-04
Lower MacDonald Creek,7/5/2006,0.185274919,mg N/L,2006-07-05
Upper MacDonald Creek,7/5/2006,0.103513913,mg N/L,2006-07-05
Coal Creek,7/6/2006,0.0687251,mg NO3/L,2006-07-06
Coal Creek,07/09/2006,0.626086957,mg/L,2006-07-09
Pinchot Creek,7/14/2006,0.020916335,mg NO3/L,2006-07-14
Coal Creek,7/15/2006,0.029880478,mg NO3/L,2006-07-15
Upper MacDonald Creek,7/17/2006,0.11297408,mg N/L,2006-07-17
Lower MacDonald Creek,7/19/2006,0.168010292,mg N/L,2006-07-19
Fish Creek,7/20/2006,0.034364875,mg N/L,2006-07-20
Pinchot Creek,07/21/2006,0.534782609,mg/L,2006-07-21
Coal Creek,07/23/2006,0.736956522,mg/L,2006-07-23
Pinchot Creek,7/25/2006,0.008964143,mg NO3/L,2006-07-25
Coal Creek,7/27/2006,0.023904382,mg NO3/L,2006-07-27
Lower MacDonald Creek,7/30/2006,0.161744807,mg N/L,2006-07-30
Upper MacDonald Creek,7/30/2006,0.12243663,mg N/L,2006-07-30
Fish Creek,8/1/2006,0.024957118,mg N/L,2006-08-01
Pinchot Creek,08/04/2006,0.37173913,mg/L,2006-08-04
Coal Creek,08/06/2006,0.860869565,mg/L,2006-08-06
Coal Creek,8/9/2006,0.038844622,mg NO3/L,2006-08-09
Pinchot Creek,8/9/2006,0.014940239,mg NO3/L,2006-08-09
Lower MacDonald Creek,8/10/2006,0.149190013,mg N/L,2006-08-10
Fish Creek,8/11/2006,0.084726987,mg N/L,2006-08-11
Pinchot Creek,08/18/2006,0.456521739,mg/L,2006-08-18
Pinchot Creek,8/19/2006,0.002988048,mg NO3/L,2006-08-19
Coal Creek,08/20/2006,0.704347826,mg/L,2006-08-20
Coal Creek,8/22/2006,0.035856574,mg NO3/L,2006-08-22
Upper MacDonald Creek,8/29/2006,0.164953783,mg N/L,2006-08-29
Lower MacDonald Creek,8/30/2006,0.14137126,mg N/L,2006-08-30
Fish Creek,8/31/2006,0.048606346,mg N/L,2006-08-31
Pinchot Creek,09/01/2006,0.639130435,mg/L,2006-09-01
Coal Creek,09/03/2006,0.991304348,mg/L,2006-09-03
